village_id,year,structure_type,count,estimated_recharge_mcm,status,notes,data_source
AMR002,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
AMR003,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
AMR003,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
AMR003,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
AMR003,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
AMR004,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
AMR004,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
AMR004,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
AMR004,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
AMR005,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
AMR005,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
AMR005,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
AMR005,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
AMR006,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
AMR006,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
AMR006,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
AMR006,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
AMR007,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
AMR007,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
AMR007,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
AMR007,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
AMR008,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
AMR008,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
AMR008,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
AMR008,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
AMR009,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
AMR009,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
AMR009,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
AMR009,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
AMR010,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
AMR010,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
AMR010,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
AMR010,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
BHV001,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
BHV001,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
BHV001,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
BHV001,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
BHV002,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
BHV002,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
BHV002,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
BHV002,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
BHV003,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
BHV003,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
BHV003,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
BHV003,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
BHV004,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
BHV004,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
BHV004,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
BHV004,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
BHV005,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
BHV005,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
BHV005,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
BHV005,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
SRN001,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
SRN001,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
SRN001,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
SRN001,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
SRN002,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
SRN002,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
SRN002,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
SRN002,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
SRN003,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
SRN003,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
SRN003,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
SRN003,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
SRN004,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
SRN004,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
SRN004,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
SRN004,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
SRN005,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
SRN005,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
SRN005,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
SRN005,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
GIR001,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
GIR001,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
GIR001,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
GIR001,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
GIR002,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
GIR002,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
GIR002,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
GIR002,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
GIR003,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
GIR003,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
GIR003,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
GIR003,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
GIR004,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
GIR004,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
GIR004,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
GIR004,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
GIR005,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
GIR005,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
GIR005,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
GIR005,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JMN001,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JMN001,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JMN001,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JMN001,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JMN002,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JMN002,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JMN002,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JMN002,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JMN003,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JMN003,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JMN003,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JMN003,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JMN004,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JMN004,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JMN004,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JMN004,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JMN005,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JMN005,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JMN005,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JMN005,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
MOR001,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
MOR001,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
MOR001,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
MOR001,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
MOR002,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
MOR002,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
MOR002,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
MOR002,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
MOR003,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
MOR003,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
MOR003,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
MOR003,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
MOR004,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
MOR004,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
MOR004,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
MOR004,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
PBD001,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
PBD001,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
PBD001,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
PBD001,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
PBD002,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
PBD002,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
PBD002,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
PBD002,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
PBD003,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
PBD003,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
PBD003,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
PBD003,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
DWK001,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
DWK001,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
DWK001,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
DWK001,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
DWK002,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
DWK002,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
DWK002,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
DWK002,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
DWK003,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
DWK003,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
DWK003,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
DWK003,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
DWK004,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
DWK004,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
DWK004,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
DWK004,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
BTD001,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
BTD001,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
BTD001,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
BTD001,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
BTD002,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
BTD002,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
BTD002,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
BTD002,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
BTD003,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
BTD003,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
BTD003,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
BTD003,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
